date,link,text
2019-09-01 16:52,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6969375572.html,EXPERIENCED ARCHITECT/ DRAFTER
2019-09-01 15:38,https://newyork.craigslist.org/brk/egr/d/brooklyn-intern-mechanical-engineer/6969330022.html,Intern Mechanical Engineer
2019-09-01 07:37,https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6969065658.html,BOOKKEEPER
2019-08-30 18:23,https://newyork.craigslist.org/que/egr/d/architect-cad-with-project-management/6968226007.html,Architect CAD with Project Management duties
2019-08-30 17:26,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6968187363.html,Facade / Building Envelope Architect
2019-08-30 17:23,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6968185342.html,Facade / Building Envelope Structural Engineer
2019-08-30 14:55,https://newyork.craigslist.org/que/egr/d/queens-village-gc-construction/6968064520.html,GC Construction Assistant Project Manager
2019-08-30 10:24,https://newyork.craigslist.org/lgi/egr/d/roslyn-heights-carpet-flooring-sales/6967824079.html,Carpet & Flooring Sales/Estimator
2019-08-29 19:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-ecb-vioaltion-and-demolitions/6967556941.html,ECB/Vioaltion and Demolitions expediter
2019-08-29 18:11,https://newyork.craigslist.org/que/egr/d/project-architects/6967512467.html,Project Architect(s)
2019-08-29 17:53,https://newyork.craigslist.org/mnh/egr/d/new-york-city-class-2-expeditor/6967499998.html,Class 2 Expeditor
2019-08-29 13:32,https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6967283957.html,Landscape Designer/Architect - Landscape sales
2019-08-29 13:17,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-commercial/6967270722.html,Project Architect | Commercial Architecture
2019-08-29 07:39,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions-for-site/6967040035.html,AutoCAD PM/Drafting Positions for Site Safety Plans
2019-08-28 17:48,https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/6966790395.html,Special Inspector (Concrete)
2019-08-28 15:34,https://newyork.craigslist.org/mnh/egr/d/new-york-solar-project-manager/6966681883.html,Solar Project Manager
2019-08-28 15:03,https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architecture-work/6966654844.html,Part-time architecture work- must know Revit
2019-08-28 13:58,https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-hotel/6966596105.html,ENGINEER (Hotel)
2019-08-28 13:17,https://newyork.craigslist.org/que/egr/d/construction-estimator/6966558357.html,Construction Estimator
2019-08-28 12:25,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966509540.html,Intermediate Architect
2019-08-28 11:47,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966474737.html,Project Architect
2019-08-28 11:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6966462955.html,Architect
2019-08-28 11:22,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966451697.html,Intermediate Architect
2019-08-27 21:23,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-design/6966186464.html,Architect/Interior Design Internship/Full Time Position
2019-08-27 17:48,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966054359.html,Project Architect
2019-08-27 13:13,https://newyork.craigslist.org/mnh/egr/d/new-york-jr-associate-architect8-month/6965811746.html,Jr. Associate Architect.....8 month project....NYC
2019-08-27 11:48,https://newyork.craigslist.org/mnh/egr/d/new-york-architect/6965730490.html,Architect
2019-08-27 11:34,https://newyork.craigslist.org/brk/egr/d/junior-intermediate-architect-expediter/6965717468.html,Junior / Intermediate Architect / Expediter
2019-08-26 23:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-architect/6965495303.html,NYC DOB_ Architect _ Architectural Services- filing set_ Freelancer
2019-08-26 23:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6965492876.html,DOB Filing Representative- Freelance
2019-08-26 16:46,https://newyork.craigslist.org/que/egr/d/astoria-mid-level-architect-8-to-10/6965250255.html,Mid-Level Architect: 8 to 10 Years of Experience
2019-08-26 14:45,https://newyork.craigslist.org/brk/egr/d/architectural-intern-administrative/6965140411.html,Architectural Intern / Administrative assistant
2019-08-26 11:25,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-for-busy/6964940143.html,Project Manager for Busy Design-to-Build Reno Co.
2019-08-26 10:23,https://newyork.craigslist.org/fct/egr/d/fairfield-project-engineer-fairfield/6964885260.html,Project Engineer (Fairfield)
2019-08-24 11:02,https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/6963626629.html,ARCHITECT Senior/ Intermediate/ Junior
2019-08-23 23:11,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-site-supervisor/6963436860.html,Construction Site Supervisor/Manager
2019-08-23 16:34,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6963204446.html,Facade / Building Envelope Project Architect
2019-08-23 16:30,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6963200951.html,Facade / Building Envelope Structural Engineer
2019-08-23 13:48,https://newyork.craigslist.org/que/egr/d/brooklyn-architectural-construction/6963053410.html,Architectural Construction Admin/ Field Representative (18-24 months)
2019-08-23 11:38,https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-pm-expediter/6962927023.html,Assistant Pm Expediter
2019-08-22 17:59,https://newyork.craigslist.org/que/egr/d/project-manager/6962530380.html,Project Manager
2019-08-22 14:25,https://newyork.craigslist.org/que/egr/d/manhasset-kitchen-bath-designer/6962353116.html,Kitchen & Bath Designer - Experienced
2019-08-22 12:11,https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-electrical/6962227574.html,Entry Level Electrical Engineering
2019-08-22 10:37,https://newyork.craigslist.org/mnh/egr/d/new-york-field-service-engineer/6962143315.html,Field Service Engineer
2019-08-21 16:57,https://newyork.craigslist.org/brk/egr/d/brooklyn-finance-office-manager-wanted/6961744708.html,Finance / office manager wanted
2019-08-21 12:33,https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/6961501244.html,Mechanical Engineer
2019-08-21 11:21,https://newyork.craigslist.org/que/egr/d/great-neck-architect-draftsperson/6961433183.html,ARCHITECT/DRAFTSPERSON - INTERMEDIATE
2019-08-21 08:02,https://newyork.craigslist.org/brx/egr/d/bronx-construction-super-assist-project/6961300928.html,Construction Super / Assist. Project Manager
2019-08-20 21:12,https://newyork.craigslist.org/mnh/egr/d/new-york-cadd-revit-draftsperson-job/6961157781.html,CADD/REVIT DRAFTSPERSON/JOB CAPTAIN
2019-08-20 17:43,https://newyork.craigslist.org/mnh/egr/d/new-york-cad-account-manager/6961026493.html,CAD Account Manager
2019-08-20 14:41,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/6960867621.html,Senior Interior Designer/Project Manager - Home Studios
2019-08-20 09:47,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/6960595389.html,Architectural Job Captain
2019-08-19 20:10,https://newyork.craigslist.org/lgi/egr/d/smithtown-product-engineer-repair-and/6960362300.html,Product Engineer - Repair and Development
2019-08-19 18:48,https://newyork.craigslist.org/lgi/egr/d/great-neck-jr-architect-cad-draftperson/6960309483.html,Jr. Architect/CAD Draftperson
2019-08-19 17:42,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-estimator-full/6960259427.html,Construction Estimator - Full time
2019-08-19 15:14,https://newyork.craigslist.org/brk/egr/d/brooklyn-ground-up-construction/6960129731.html,Ground Up Construction Supervisor
2019-08-19 12:45,https://newyork.craigslist.org/brk/egr/d/drafter-position-bilingual-russian/6959982012.html,Drafter Position - Bilingual Russian
2019-08-19 11:40,https://newyork.craigslist.org/que/egr/d/forest-hills-civil-field-engineer/6959915282.html,Civil Field Engineer
2019-08-19 11:05,https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeks-full/6959881035.html,Pro Aire Design seeks Full Time HVAC Estimator / Estimating Assistant
2019-08-19 10:22,https://newyork.craigslist.org/wch/egr/d/white-plains-survey-crew-chief/6959842486.html,Survey Crew Chief
2019-08-19 10:13,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-draftsman/6959835362.html,Junior Draftsman/Architect with Purchasing Experience
2019-08-19 09:44,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6959812116.html,Intermediate Architect
2019-08-19 09:12,https://newyork.craigslist.org/lgi/egr/d/great-neck-interior-architect-designer/6959790489.html,Interior/architect  designer
2019-08-18 09:37,https://newyork.craigslist.org/wch/egr/d/rye-landscape-architect-designer/6959173444.html,Landscape Architect/Designer
2019-08-17 07:58,https://newyork.craigslist.org/mnh/egr/d/new-york-civil-structural-engineer/6958481155.html,CIVIL/STRUCTURAL ENGINEER WANTED
2019-08-16 18:02,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6958238423.html,Facade / Building Envelope Project Architect
2019-08-16 18:01,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6958237509.html,Facade / Building Envelope Structural Engineer
2019-08-16 14:15,https://newyork.craigslist.org/fct/egr/d/bethel-solidworks-cad-designer/6958044666.html,Solidworks CAD Designer
2019-08-16 10:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-fire-protection/6957834921.html,Plumbing/Fire Protection Engineer
2019-08-15 19:36,https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-student-intern-in/6957561773.html,Part-time Student Intern in Architecture
2019-08-15 18:49,https://newyork.craigslist.org/que/egr/d/long-island-city-engineer-architect/6957533495.html,"engineer/architect/autocad, yup!"
2019-08-15 16:34,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6957435800.html,Structural Engineer
2019-08-15 15:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-assistant-for/6957369202.html,PROJECT ASSISTANT for Real Estate focused Digital Agency
